rank,group_no,team,like_count,view_count,comment_count,url
1,6,北一鎖舞第十七屆,767,2504,11,https://www.youtube.com/watch?v=qgK7oO0KxZo
2,27,PinkyLuv,554,2505,14,https://www.youtube.com/watch?v=Q6l-_cvdzxI
3,20,Star War,550,2400,23,https://www.youtube.com/watch?v=Wofl1wKnI7M
4,21,TBC Starry Crew,452,2126,8,https://www.youtube.com/watch?v=BLz94yNNY-s
5,2,G DIVA,385,2989,3,https://www.youtube.com/watch?v=UI00QmOXFRU
6,13,Viyah Ditto,351,1672,18,https://www.youtube.com/watch?v=FF8uLiX2P0U
7,23,Pink Pump,286,1331,12,https://www.youtube.com/watch?v=jSqPD8X0728
8,12,BADDIES,257,1301,5,https://www.youtube.com/watch?v=XeQqkS8SiSc
9,4,So chu,215,1130,25,https://www.youtube.com/watch?v=0O-nAt1_LPw
10,22,丰引舞集,198,895,5,https://www.youtube.com/watch?v=aPDsSh3QdJc
11,1,MIKI KIDS,180,1377,0,https://www.youtube.com/watch?v=x7dCjRWyWHY
12,25,JBB,164,949,4,https://www.youtube.com/watch?v=e4EN_WDdCP0
13,8,HRC Beast Emerge,150,879,1,https://www.youtube.com/watch?v=YyOqIm0Nr9c
14,7,YVIE GIRLS,145,1030,17,https://www.youtube.com/watch?v=ANIAiBhZefM
15,11,Future Feet,137,618,8,https://www.youtube.com/watch?v=gZLoZ-GPe4I
16,19,StyleWave,137,691,9,https://www.youtube.com/watch?v=umVbNqCtcy0
17,26,S.K.J,131,1051,2,https://www.youtube.com/watch?v=1t9IafYZQSA
18,9,DG熱舞社,102,781,5,https://www.youtube.com/watch?v=M-80yvLy8EI
19,17,Thunderbolts,95,594,2,https://www.youtube.com/watch?v=yIqBHtd16aM
20,28,水煮蛋1.5,86,861,0,https://www.youtube.com/watch?v=LYmPKMYPP10
21,18,21Force,76,529,3,https://www.youtube.com/watch?v=sSpYbLRnUD0
22,5,SoulBrat Kids,44,375,0,https://www.youtube.com/watch?v=5xHurKEzjHA
23,16,水煮蛋1.0,35,285,0,https://www.youtube.com/watch?v=3YRHIoQL6BM
24,10,XDSs MiniQ,30,310,1,https://www.youtube.com/watch?v=wBgfwg45qIA
25,14,Freedom Ice,28,260,0,https://www.youtube.com/watch?v=ZqZnXUfUt9U
26,3,AngeLaBoNiKo,21,243,0,https://www.youtube.com/watch?v=TEWGBoz7M5U
27,24,A pex,6,173,0,https://www.youtube.com/watch?v=r_0VtgfLAik
28,15,辣麼可愛,1,170,0,https://www.youtube.com/watch?v=0JD5AYuVJ38
