rank,group_no,team,like_count,view_count,comment_count,url
1,6,北一鎖舞第十七屆,769,2531,11,https://www.youtube.com/watch?v=qgK7oO0KxZo
2,27,PinkyLuv,568,2599,15,https://www.youtube.com/watch?v=Q6l-_cvdzxI
3,20,Star War,555,2456,23,https://www.youtube.com/watch?v=Wofl1wKnI7M
4,21,TBC Starry Crew,498,2305,10,https://www.youtube.com/watch?v=BLz94yNNY-s
5,7,YVIE GIRLS,477,1218,21,https://www.youtube.com/watch?v=ANIAiBhZefM
6,25,JBB,396,983,4,https://www.youtube.com/watch?v=e4EN_WDdCP0
7,2,G DIVA,386,3084,3,https://www.youtube.com/watch?v=UI00QmOXFRU
8,13,Viyah Ditto,353,1703,18,https://www.youtube.com/watch?v=FF8uLiX2P0U
9,12,BADDIES,313,1536,7,https://www.youtube.com/watch?v=XeQqkS8SiSc
10,23,Pink Pump,308,1536,14,https://www.youtube.com/watch?v=jSqPD8X0728
11,4,So chu,218,1164,25,https://www.youtube.com/watch?v=0O-nAt1_LPw
12,22,丰引舞集,198,916,5,https://www.youtube.com/watch?v=aPDsSh3QdJc
13,1,MIKI KIDS,182,1418,0,https://www.youtube.com/watch?v=x7dCjRWyWHY
14,8,HRC Beast Emerge,149,894,1,https://www.youtube.com/watch?v=YyOqIm0Nr9c
15,11,Future Feet,142,635,8,https://www.youtube.com/watch?v=gZLoZ-GPe4I
16,19,StyleWave,137,699,9,https://www.youtube.com/watch?v=umVbNqCtcy0
17,26,S.K.J,133,1091,2,https://www.youtube.com/watch?v=1t9IafYZQSA
18,9,DG熱舞社,102,800,5,https://www.youtube.com/watch?v=M-80yvLy8EI
19,17,Thunderbolts,95,601,2,https://www.youtube.com/watch?v=yIqBHtd16aM
20,28,水煮蛋1.5,86,876,0,https://www.youtube.com/watch?v=LYmPKMYPP10
21,18,21Force,78,550,4,https://www.youtube.com/watch?v=sSpYbLRnUD0
22,5,SoulBrat Kids,44,386,0,https://www.youtube.com/watch?v=5xHurKEzjHA
23,16,水煮蛋1.0,35,295,0,https://www.youtube.com/watch?v=3YRHIoQL6BM
24,10,XDSs MiniQ,30,319,1,https://www.youtube.com/watch?v=wBgfwg45qIA
25,14,Freedom Ice,28,270,0,https://www.youtube.com/watch?v=ZqZnXUfUt9U
26,3,AngeLaBoNiKo,21,251,0,https://www.youtube.com/watch?v=TEWGBoz7M5U
27,24,A pex,6,182,0,https://www.youtube.com/watch?v=r_0VtgfLAik
28,15,辣麼可愛,1,180,0,https://www.youtube.com/watch?v=0JD5AYuVJ38
